type,lr,val,mean,std,1,2,3,4,5,6,7
cf,1e-05,epoch,12.4285714286,8.39430078769,27,4,9,1,11,24,11
cf,1e-05,hidden/loss,,, 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden'
cf,1e-05,knn/MSE,242.857142857,98.1980506062,500.0,200.0,200.0,200.0,200.0,200.0,200.0
cf,1e-05,precision,0.479612109744,0.0108020852219,0.48145695364200003,0.48046357615900004,0.46390728476800003,0.46423841059600002,0.491059602649,0.47880794702000001,0.49735099337700001
cf,1e-05,recall,0.0518786257174,0.000836605023187,0.051884549998399997,0.052368009953100002,0.0500646168525,0.051182556070999995,0.052864702522099995,0.052596857418099996,0.052189087206300007
cf,0.0001,epoch,21.1428571429,4.10574510377,18,22,29,21,15,25,18
cf,0.0001,hidden/loss,,, 'hidden_sigmoid', 'hidden_sigmoid', 'hidden_sigmoid', 'hidden_sigmoid', 'hidden_sigmoid', 'hidden_sigmoid', 'hidden_sigmoid'
cf,0.0001,knn/MSE,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
cf,0.0001,precision,0.539687795648,0.00412058311098,0.540728476821,0.54172185430499997,0.53841059602600005,0.53543046357599999,0.53675496688699997,0.53576158940399998,0.54900662251699994
cf,0.0001,recall,0.0548058333832,0.00119172096842,0.056202614557,0.0553604319505,0.054380063279400002,0.053923169771300003,0.053847037697599999,0.053069890634699995,0.056857625791899999
cf,0.001,epoch,6.0,4.35889894354,1,4,5,9,4,3,16
cf,0.001,hidden/loss,,, 'decode', 'hidden_sigmoid', 'hidden_sigmoid', 'decode', 'hidden_sigmoid', 'hidden_sigmoid', 'decode'
cf,0.001,knn/MSE,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
cf,0.001,precision,0.32270577105,0.0072599991744,0.32185430463600001,0.30794701986799999,0.32516556291400001,0.32913907284799998,0.33245033112599998,0.31589403973499997,0.32649006622499999
cf,0.001,recall,0.0274057530053,0.001262675074,0.0280594057467,0.025733350140599999,0.028598415052299996,0.027525759128900002,0.0292464490668,0.025236788432400004,0.027440103469199999
cf,0.01,epoch,10.1428571429,10.6116512785,3,30,3,3,26,3,3
cf,0.01,hidden/loss,,, 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden'
cf,0.01,knn/MSE,300.0,165.831239518,500.0,500.0,100.0,100.0,500.0,200.0,200.0
cf,0.01,precision,0.466556291391,0.0649646174275,0.47682119205300005,0.35629139072800003,0.53046357615899997,0.51821192052999998,0.362913907285,0.51854304635799997,0.50264900662299994
cf,0.01,recall,0.0450146914068,0.00935370585839,0.046937894762199998,0.028840792964900001,0.054382251445500004,0.053419460765600002,0.030549913813700001,0.052376169395799997,0.048596356700099992
cf,0.1,epoch,2.42857142857,0.845154254729,2,4,2,3,2,3,1
cf,0.1,hidden/loss,,, 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden', 'hidden'
cf,0.1,knn/MSE,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
