type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,2, 'hidden',200.0,0.450662251656,0.0456737452576
cf,0.01,26, 'hidden',500.0,0.362913907285,0.0305499138137
cf,0.001,4, 'hidden_sigmoid',500.0,0.332450331126,0.0292464490668
cf,0.0001,15, 'hidden_sigmoid',500.0,0.536754966887,0.0538470376976
cf,1e-05,11, 'hidden',200.0,0.491059602649,0.0528647025221
prediction,0.1,29,0.055126343113,0.04685408622,0.147682119205,0.01271015045
prediction,0.01,20,0.042216447683,0.040026903152,0.164238410596,0.0127137586588
prediction,0.001,7,0.27389693451,0.20789408683,0.0708609271523,0.00554513981285
prediction,0.0001,8,0.036017511517,0.029711833223,0.141721854305,0.0116046732007
prediction,1e-05,30,0.04334080472,0.038274496793,0.12119205298,0.00883667640697
