type,lr,epoch,hidden/loss,knn/MSE,precision,recall
prediction,0.1,1,0.092724649569,0.04211568832,0.0695364238411,0.005497145436
cf,0.1,1, 'hidden',200.0,0.452317880795,0.0455307140932
prediction,0.1,2,0.043779514634,0.040489066392,0.0632450331126,0.00583910579567
cf,0.1,2, 'hidden',200.0,0.462251655629,0.0474403292515
prediction,0.1,3,0.042231860307,0.039633456617,0.0619205298013,0.00457474113308
cf,0.1,3, 'hidden',100.0,0.448344370861,0.0461727129324
prediction,0.1,4,0.04199092625,0.040031116455,0.0423841059603,0.0025857104127
cf,0.1,4, 'hidden',100.0,0.428476821192,0.042889859825
prediction,0.1,5,0.043108814324,0.040285997092,0.0327814569536,0.00254273601672
cf,0.1,5, 'hidden',500.0,0.300331125828,0.0210946387151
prediction,0.1,6,0.04362951195,0.04096886143,0.00264900662252,0.000357495630758
cf,0.1,6, 'decode',5.0,0.265894039735,0.0213401560214
prediction,0.1,7,0.043795956728,0.040193714201,0.0973509933775,0.00820231688529
cf,0.1,7, 'hidden',500.0,0.108278145695,0.0056741989656
prediction,0.1,8,0.043605615408,0.040143840014,0.00165562913907,6.59586659027e-05
cf,0.1,8, 'decode',100.0,0.144701986755,0.00811039890832
prediction,0.1,9,0.043879558165,0.040583573281,0.00430463576159,9.44737609882e-05
cf,0.1,9, 'decode',5.0,0.185761589404,0.0166180665295
prediction,0.1,10,0.04436243058,0.041168246418,0.0529801324503,0.00339913922644
cf,0.1,10, 'hidden_sigmoid',5.0,0.126821192053,0.00741095456474
prediction,0.1,11,0.044643475268,0.040968973189,0.00165562913907,0.000169432558247
cf,0.1,11, 'decode',5.0,0.22119205298,0.0189226144353
cf,0.1,11, 'hidden_sigmoid',5.0,0.22119205298,0.0189226144353
prediction,0.1,12,0.04443523402,0.041024792939,0.0046357615894,0.000393693180818
cf,0.1,12, 'hidden_sigmoid',5.0,0.203973509934,0.0179003030753
prediction,0.1,13,0.04423233838,0.041019197553,0.0844370860927,0.00635262792012
cf,0.1,13, 'hidden_sigmoid',500.0,0.0453642384106,0.002379191956
prediction,0.1,14,0.044187893756,0.041184023022,0.0112582781457,0.000975650944442
cf,0.1,14, 'decode',5.0,0.191059602649,0.0152741514463
prediction,0.1,15,0.044526086499,0.041272718459,0.0215231788079,0.00102453180931
cf,0.1,15, 'hidden_sigmoid',100.0,0.101655629139,0.00749067010178
prediction,0.1,16,0.045027536029,0.0416896604,0.00165562913907,0.000144818624458
cf,0.1,16, 'hidden_sigmoid',5.0,0.166556291391,0.015079635629
prediction,0.1,17,0.045526727938,0.042116913944,0.05,0.00269074044659
cf,0.1,17, 'decode',5.0,0.156622516556,0.0127407591097
cf,0.1,17, 'hidden_sigmoid',5.0,0.156622516556,0.0127407591097
prediction,0.1,18,0.045261063445,0.041584607213,0.00960264900662,0.000782504877328
cf,0.1,18, 'decode',5.0,0.209602649007,0.0176558582029
prediction,0.1,19,0.044567169573,0.041194912046,0.0112582781457,0.000770971678062
cf,0.1,19, 'hidden_sigmoid',100.0,0.142715231788,0.0107231164194
prediction,0.1,20,0.044401635439,0.041347257792,0.0158940397351,0.00142833013969
cf,0.1,20, 'decode',5.0,0.233112582781,0.0173750061948
prediction,0.1,21,0.044584168646,0.041494857519,0.110264900662,0.00874204956293
cf,0.1,21, 'hidden_sigmoid',500.0,0.0715231788079,0.0040443465982
prediction,0.1,22,0.044899908873,0.041326686739,0.00298013245033,0.000152076065376
cf,0.1,22, 'decode',5.0,0.209271523179,0.0189993697939
prediction,0.1,23,0.045614384496,0.041455056518,0.00165562913907,8.79349684487e-05
cf,0.1,23, 'decode',100.0,0.167218543046,0.00970320649822
prediction,0.1,24,0.046696004577,0.042639568448,0.00264900662252,0.000107680566942
cf,0.1,24, 'hidden_sigmoid',100.0,0.200331125828,0.012362499413
prediction,0.1,25,0.047408273682,0.042688753455,0.00364238410596,0.000387143869681
cf,0.1,25, 'decode',100.0,0.177483443709,0.0113285519488
prediction,0.1,26,0.048027051851,0.043013926595,0.00264900662252,0.000187192988014
cf,0.1,26, 'decode',5.0,0.215894039735,0.0182124119648
prediction,0.1,27,0.049637916569,0.045159533619,0.113245033113,0.0089844607946
cf,0.1,27, 'hidden',500.0,0.0195364238411,0.00108762681103
prediction,0.1,28,0.052661851048,0.046891517937,0.105629139073,0.00848076365056
cf,0.1,28, 'hidden_sigmoid',100.0,0.0688741721854,0.00420264601785
prediction,0.1,29,0.054819583128,0.04606642574,0.0599337748344,0.00545483385245
cf,0.1,29, 'hidden_sigmoid',500.0,0.11357615894,0.00651149730819
prediction,0.1,30,0.051202957351,0.048312507569,0.00695364238411,0.000478250618186
cf,0.1,30, 'decode',5.0,0.198675496689,0.0175667455832
cf,0.1,30, 'hidden_sigmoid',5.0,0.198675496689,0.0175667455832
prediction,0.01,1,1.4829892374,1.3401999473,0.000662251655629,9.43572423561e-05
cf,0.01,1, 'hidden_sigmoid',100.0,0.144701986755,0.00797059279511
prediction,0.01,2,0.82646815899,0.12087628245,0.000331125827815,3.24633164524e-05
cf,0.01,2, 'decode',100.0,0.132450331126,0.00702114024404
cf,0.01,2, 'hidden_sigmoid',100.0,0.132450331126,0.00702114024404
prediction,0.01,3,0.060611846068,0.04021484404,0.108278145695,0.00943108314972
cf,0.01,3, 'hidden',100.0,0.530463576159,0.0543822514455
prediction,0.01,4,0.042724063954,0.039258509874,0.13178807947,0.0127487374231
cf,0.01,4, 'hidden',500.0,0.00165562913907,7.97950058706e-05
prediction,0.01,5,0.041644483613,0.039337981492,0.140066225166,0.0120336109157
cf,0.01,5, 'decode',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'decode',100.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'decode',200.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',100.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',200.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden_sigmoid',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden_sigmoid',100.0,0.000331125827815,1.89865726958e-06
prediction,0.01,6,0.041704798785,0.039453122764,0.135761589404,0.0118348819516
cf,0.01,6, 'hidden_sigmoid',500.0,0.00132450331126,1.52188242786e-05
prediction,0.01,7,0.041728197047,0.039368592202,0.142052980132,0.0110818439648
cf,0.01,7, 'hidden_sigmoid',100.0,0.00132450331126,4.11266368647e-05
prediction,0.01,8,0.041699225799,0.039632447063,0.143377483444,0.011935858707
cf,0.01,8, 'hidden_sigmoid',500.0,0.0023178807947,5.5603964476e-05
prediction,0.01,9,0.041899328239,0.039483703672,0.132781456954,0.0118254793404
cf,0.01,9, 'hidden_sigmoid',100.0,0.00132450331126,3.59739057151e-05
cf,0.01,9, 'hidden_sigmoid',200.0,0.00132450331126,2.22126820013e-05
prediction,0.01,10,0.041882159522,0.03954833,0.133112582781,0.0116765876862
cf,0.01,10, 'hidden_sigmoid',100.0,0.00198675496689,3.23103905996e-05
prediction,0.01,11,0.041890506369,0.039785791188,0.151324503311,0.0119015368973
cf,0.01,11, 'hidden_sigmoid',200.0,0.00397350993377,9.30220056291e-05
prediction,0.01,12,0.041918341452,0.039778579026,0.124503311258,0.0105320398783
cf,0.01,12, 'hidden_sigmoid',500.0,0.00264900662252,8.3013112221e-05
prediction,0.01,13,0.041925286826,0.039901260286,0.129470198675,0.010563140965
cf,0.01,13, 'hidden_sigmoid',100.0,0.0023178807947,3.42344133502e-05
prediction,0.01,14,0.041943219609,0.03975430876,0.0996688741722,0.0078387031097
cf,0.01,14, 'hidden_sigmoid',200.0,0.00198675496689,5.41991226603e-05
prediction,0.01,15,0.042086474406,0.039704114198,0.137086092715,0.0114219808007
cf,0.01,15, 'hidden_sigmoid',100.0,0.00364238410596,7.5887862348e-05
prediction,0.01,16,0.042025462652,0.039871130138,0.12582781457,0.0106490543432
cf,0.01,16, 'hidden_sigmoid',500.0,0.00761589403974,0.000229761792283
prediction,0.01,17,0.042108014703,0.040205523371,0.137417218543,0.0104397920979
cf,0.01,17, 'hidden_sigmoid',500.0,0.00761589403974,0.000189399288812
prediction,0.01,18,0.042185307074,0.039796520024,0.140066225166,0.0117183211779
cf,0.01,18, 'hidden_sigmoid',200.0,0.00529801324503,0.00018594667288
prediction,0.01,19,0.042201182733,0.040067568421,0.120860927152,0.0103368199367
cf,0.01,19, 'hidden_sigmoid',500.0,0.0129139072848,0.000438000977247
prediction,0.01,20,0.042188147703,0.040020380169,0.138410596026,0.010409112532
cf,0.01,20, 'hidden_sigmoid',200.0,0.0155629139073,0.000661029257971
prediction,0.01,21,0.042250876911,0.040021583437,0.117880794702,0.00932710205284
cf,0.01,21, 'hidden_sigmoid',500.0,0.023178807947,0.00103704811405
prediction,0.01,22,0.042214825367,0.04012511298,0.0913907284768,0.00777694990444
cf,0.01,22, 'hidden',500.0,0.0476821192053,0.00185057711078
prediction,0.01,23,0.042209665267,0.040250863879,0.0205298013245,0.00116808880286
cf,0.01,23, 'hidden_sigmoid',5.0,0.246026490066,0.0187524491125
prediction,0.01,24,0.042243585706,0.0402427166,0.0132450331126,0.000944210757963
cf,0.01,24, 'hidden_sigmoid',5.0,0.269205298013,0.0206058468147
prediction,0.01,25,0.042211373647,0.0403890796,0.145033112583,0.011872545027
cf,0.01,25, 'hidden',100.0,0.0420529801325,0.00197431125986
prediction,0.01,26,0.042256592271,0.040017262101,0.109933774834,0.00953501424926
cf,0.01,26, 'hidden',100.0,0.214569536424,0.0150098282771
prediction,0.01,27,0.042226434183,0.040065400302,0.087417218543,0.00707628898301
cf,0.01,27, 'decode',500.0,0.189735099338,0.0155724395155
prediction,0.01,28,0.042232366899,0.040237762033,0.0221854304636,0.00148710976596
cf,0.01,28, 'hidden',500.0,0.320860927152,0.0265545813877
prediction,0.01,29,0.042224556303,0.039972633123,0.0241721854305,0.00096718368128
cf,0.01,29, 'hidden',500.0,0.165231788079,0.0114064367069
prediction,0.01,30,0.042282430789,0.039978295564,0.023178807947,0.00079754938021
cf,0.01,30, 'hidden',500.0,0.287417218543,0.0210326472644
prediction,0.001,1,0.076531758006,0.079679764807,0.0228476821192,0.00184590716915
cf,0.001,1, 'decode',500.0,0.317880794702,0.0263709881361
prediction,0.001,2,0.46370206467,0.5838599205,0.0675496688742,0.00536524980017
cf,0.001,2, 'hidden_sigmoid',500.0,0.234768211921,0.0164690799447
prediction,0.001,3,0.48768171744,0.36317083239,0.044701986755,0.00365113088444
cf,0.001,3, 'hidden_sigmoid',500.0,0.308940397351,0.0269969919035
prediction,0.001,4,0.50431156005,0.41754224896,0.062582781457,0.00549037561278
