type,lr,epoch,hidden/loss,knn/MSE,precision,recall
prediction,0.1,1,0.092579782295,0.041904635727,0.062582781457,0.00558303672299
cf,0.1,1, 'hidden',200.0,0.434437086093,0.0429113442675
prediction,0.1,2,0.043787368406,0.040430027991,0.0728476821192,0.00568218217145
cf,0.1,2, 'hidden',200.0,0.450662251656,0.0456737452576
prediction,0.1,3,0.04222152554,0.039476048201,0.0586092715232,0.00461252344065
cf,0.1,3, 'hidden',100.0,0.434105960265,0.0423334200651
cf,0.1,3, 'hidden',200.0,0.434105960265,0.0423495297974
prediction,0.1,4,0.041914237758,0.040332779288,0.0639072847682,0.00585846444679
cf,0.1,4, 'hidden',100.0,0.446357615894,0.0453392069728
prediction,0.1,5,0.04315060281,0.040347706526,0.0344370860927,0.00269043042247
cf,0.1,5, 'hidden',500.0,0.223178807947,0.0151680061183
prediction,0.1,6,0.04360588468,0.040747337043,0.00264900662252,0.000164458267226
cf,0.1,6, 'decode',5.0,0.284768211921,0.023020607396
prediction,0.1,7,0.043670313671,0.040275860577,0.00364238410596,0.000652587801856
cf,0.1,7, 'decode',5.0,0.222185430464,0.0198283776953
prediction,0.1,8,0.043558010019,0.040465999394,0.00596026490066,0.000460482108582
cf,0.1,8, 'hidden_sigmoid',5.0,0.234437086093,0.0185451524175
prediction,0.1,9,0.04377327291,0.041369836777,0.00728476821192,0.000625707637285
cf,0.1,9, 'decode',5.0,0.222516556291,0.0196663530234
prediction,0.1,10,0.044320542842,0.041038360446,0.00761589403974,0.000272615739989
cf,0.1,10, 'decode',5.0,0.164569536424,0.0139098740622
cf,0.1,10, 'hidden_sigmoid',5.0,0.164569536424,0.0139098740622
prediction,0.1,11,0.044605662616,0.041457355022,0.00165562913907,0.00020402155257
cf,0.1,11, 'decode',100.0,0.169205298013,0.0115677642384
prediction,0.1,12,0.044402066331,0.041083905845,0.0102649006623,0.000404345363963
cf,0.1,12, 'decode',5.0,0.169205298013,0.0140453329091
prediction,0.1,13,0.044136648949,0.040766764432,0.00132450331126,9.31811885106e-05
cf,0.1,13, 'decode',5.0,0.162913907285,0.0145287562875
cf,0.1,13, 'hidden_sigmoid',5.0,0.162913907285,0.0145287562875
prediction,0.1,14,0.044171781255,0.041279673576,0.0576158940397,0.00345512419629
cf,0.1,14, 'decode',100.0,0.0870860927152,0.00582637492985
