type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,3, 'hidden',200.0,0.461920529801,0.0480969247014
cf,0.01,3, 'hidden',100.0,0.51821192053,0.0534194607656
cf,0.001,9, 'decode',500.0,0.329139072848,0.0275257591289
cf,0.0001,21, 'hidden_sigmoid',500.0,0.535430463576,0.0539231697713
cf,1e-05,1, 'hidden',200.0,0.464238410596,0.051182556071
prediction,0.1,28,0.052682216255,0.047201931476,0.153311258278,0.0133459145984
prediction,0.01,16,0.041988278046,0.039928782731,0.157284768212,0.0140506754073
prediction,0.001,6,0.32761743473,0.21269199252,0.0675496688742,0.0049255516045
prediction,0.0001,3,0.046157694493,0.038058236241,0.139072847682,0.0102465346901
prediction,1e-05,29,0.043940397504,0.038646265864,0.140066225166,0.0113430154948
