type,lr,epoch,hidden/loss,knn/MSE,precision,recall
prediction,0.1,1,0.093586820249,0.042119737714,0.0546357615894,0.00357663407788
cf,0.1,1, 'hidden',100.0,0.447350993377,0.0443219339198
prediction,0.1,2,0.04379231033,0.040454644709,0.0609271523179,0.00497564960063
cf,0.1,2, 'hidden',200.0,0.456291390728,0.0471524604954
prediction,0.1,3,0.042250220448,0.039714414626,0.0668874172185,0.00487368360363
cf,0.1,3, 'hidden',500.0,0.45298013245,0.0452513852762
prediction,0.1,4,0.042005487359,0.040124792605,0.112913907285,0.00848324112019
cf,0.1,4, 'hidden',200.0,0.449337748344,0.0446068464418
prediction,0.1,5,0.043132883424,0.040329799056,0.0427152317881,0.00257925427823
cf,0.1,5, 'hidden',500.0,0.380463576159,0.0336127773777
prediction,0.1,6,0.043441527355,0.040437415242,0.00331125827815,0.00023190093104
cf,0.1,6, 'hidden_sigmoid',5.0,0.249337748344,0.0184761512392
prediction,0.1,7,0.04373044788,0.040586363524,0.00397350993377,0.000231316770153
cf,0.1,7, 'hidden_sigmoid',5.0,0.195695364238,0.0125296860887
prediction,0.1,8,0.043581955469,0.040210355073,0.00629139072848,0.000440996680363
cf,0.1,8, 'decode',5.0,0.250331125828,0.0176340744036
prediction,0.1,9,0.043843408234,0.040625061839,0.00364238410596,0.000479558700828
cf,0.1,9, 'hidden_sigmoid',5.0,0.222185430464,0.0177314218918
prediction,0.1,10,0.044258958636,0.041037570685,0.00562913907285,0.00029919464865
cf,0.1,10, 'decode',5.0,0.184437086093,0.0166118916815
cf,0.1,10, 'hidden_sigmoid',5.0,0.184437086093,0.0166118916815
prediction,0.1,11,0.044573375143,0.041584677994,0.00761589403974,0.000369640306775
cf,0.1,11, 'hidden_sigmoid',5.0,0.216225165563,0.0184508728857
prediction,0.1,12,0.044580520393,0.040682319551,0.00331125827815,0.00022374469535
cf,0.1,12, 'decode',5.0,0.258609271523,0.0181287523371
prediction,0.1,13,0.044134921322,0.041203364729,0.00298013245033,0.000350008355648
cf,0.1,13, 'decode',5.0,0.21821192053,0.0183439586923
prediction,0.1,14,0.044275296278,0.041131932288,0.00496688741722,0.000411384094067
cf,0.1,14, 'hidden_sigmoid',5.0,0.204635761589,0.0181491840272
prediction,0.1,15,0.044537479296,0.042042531073,0.141390728477,0.0109216842167
cf,0.1,15, 'decode',100.0,0.00960264900662,0.000488447922035
prediction,0.1,16,0.04503235154,0.04222222045,0.00331125827815,0.000141135000911
cf,0.1,16, 'hidden_sigmoid',100.0,0.142052980132,0.00938196576035
prediction,0.1,17,0.045707479405,0.041980955749,0.00132450331126,8.25264849585e-05
cf,0.1,17, 'decode',5.0,0.167549668874,0.0102591404039
prediction,0.1,18,0.045256603986,0.041632827371,0.0105960264901,0.000902493990439
cf,0.1,18, 'decode',100.0,0.150993377483,0.00934022259813
prediction,0.1,19,0.04452099269,0.041317299008,0.0102649006623,0.00103706571703
cf,0.1,19, 'decode',5.0,0.172185430464,0.0153737907353
prediction,0.1,20,0.044507129738,0.041099123656,0.00695364238411,0.000571016705907
cf,0.1,20, 'decode',5.0,0.222516556291,0.0190320235028
prediction,0.1,21,0.0445437042,0.041024558246,0.00430463576159,0.000352354086745
cf,0.1,21, 'decode',5.0,0.282119205298,0.0219534062012
prediction,0.1,22,0.044857146027,0.041029896587,0.00298013245033,0.000212007871833
cf,0.1,22, 'decode',100.0,0.155960264901,0.0108633287425
prediction,0.1,23,0.045588138489,0.042087186127,0.00496688741722,0.000179304464034
cf,0.1,23, 'decode',5.0,0.17119205298,0.0145951354869
cf,0.1,23, 'hidden_sigmoid',5.0,0.17119205298,0.0145951354869
prediction,0.1,24,0.046725669636,0.042483221739,0.00364238410596,0.000331635784311
cf,0.1,24, 'hidden_sigmoid',5.0,0.211258278146,0.0152472612376
prediction,0.1,25,0.047347710396,0.043167710304,0.00529801324503,0.000124803126506
cf,0.1,25, 'decode',100.0,0.135430463576,0.00700920965975
prediction,0.1,26,0.048137136281,0.043163437396,0.00761589403974,0.00056784248656
cf,0.1,26, 'decode',5.0,0.155960264901,0.0136268084232
cf,0.1,26, 'hidden_sigmoid',5.0,0.155960264901,0.0136268084232
prediction,0.1,27,0.04962457869,0.044972561299,0.143708609272,0.0108056785642
cf,0.1,27, 'hidden',500.0,0.0248344370861,0.00120170898603
prediction,0.1,28,0.052827180482,0.047131590545,0.11357615894,0.00901881680157
cf,0.1,28, 'hidden',500.0,0.00894039735099,0.000368027778012
prediction,0.1,29,0.054978234645,0.045034885406,0.00364238410596,0.000279886339444
cf,0.1,29, 'decode',5.0,0.15,0.0141236120178
cf,0.1,29, 'hidden_sigmoid',5.0,0.15,0.0141236120178
prediction,0.1,30,0.051290139842,0.048544839024,0.0165562913907,0.000663242146401
cf,0.1,30, 'hidden_sigmoid',5.0,0.194370860927,0.0155980586299
prediction,0.01,1,1.4858814726,1.046806097,0.00165562913907,5.57718159551e-05
cf,0.01,1, 'decode',5.0,0.184437086093,0.0166118916815
cf,0.01,1, 'hidden_sigmoid',5.0,0.184437086093,0.0166118916815
prediction,0.01,2,0.82191405311,0.12002934515,0.0,0.0
cf,0.01,2, 'decode',5.0,0.192052980132,0.0178438772306
cf,0.01,2, 'hidden_sigmoid',5.0,0.192052980132,0.0178438772306
prediction,0.01,3,0.06075371563,0.040196064859,0.0804635761589,0.00611870407466
cf,0.01,3, 'hidden',500.0,0.476821192053,0.0469378947622
prediction,0.01,4,0.042743120151,0.039152029901,0.145695364238,0.0124750643175
cf,0.01,4, 'hidden',500.0,0.00298013245033,8.10426148933e-05
prediction,0.01,5,0.041650213874,0.039293456822,0.132119205298,0.010770152375
cf,0.01,5, 'decode',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'decode',100.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'decode',200.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'decode',500.0,0.000331125827815,1.16593601343e-05
cf,0.01,5, 'hidden',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',100.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',200.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden',500.0,0.000331125827815,1.94779898714e-05
cf,0.01,5, 'hidden_sigmoid',5.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden_sigmoid',100.0,0.000331125827815,1.89865726958e-06
cf,0.01,5, 'hidden_sigmoid',200.0,0.000331125827815,1.89865726958e-06
prediction,0.01,6,0.041586055635,0.039343260228,0.0940397350993,0.00796344039853
cf,0.01,6, 'hidden_sigmoid',500.0,0.00165562913907,5.24701623824e-05
prediction,0.01,7,0.041619360112,0.039720397442,0.145033112583,0.0116063015278
cf,0.01,7, 'hidden_sigmoid',500.0,0.0023178807947,4.71860978881e-05
prediction,0.01,8,0.041761554204,0.03954858705,0.121523178808,0.0100333939772
cf,0.01,8, 'hidden_sigmoid',500.0,0.00331125827815,6.28739536096e-05
prediction,0.01,9,0.041808341128,0.039776045829,0.116556291391,0.00933461205549
cf,0.01,9, 'hidden_sigmoid',500.0,0.0023178807947,0.000130500997058
prediction,0.01,10,0.04191028747,0.03971724584,0.111589403974,0.00788770565543
cf,0.01,10, 'hidden_sigmoid',500.0,0.00264900662252,0.000135051467714
prediction,0.01,11,0.04179687922,0.03984666243,0.0980132450331,0.00625670684506
cf,0.01,11, 'hidden',500.0,0.00794701986755,0.000275855656746
prediction,0.01,12,0.04193344444,0.039613947272,0.138410596026,0.0112865731861
cf,0.01,12, 'hidden_sigmoid',200.0,0.00198675496689,7.06734905285e-05
prediction,0.01,13,0.041911272284,0.03976656869,0.106291390728,0.0100287110074
cf,0.01,13, 'hidden_sigmoid',500.0,0.0023178807947,4.78893127806e-05
prediction,0.01,14,0.041900749198,0.039905339479,0.14701986755,0.0123696397323
cf,0.01,14, 'hidden_sigmoid',100.0,0.0023178807947,7.85464158e-05
cf,0.01,14, 'hidden_sigmoid',500.0,0.0023178807947,0.000210324521325
prediction,0.01,15,0.04205117728,0.039763387292,0.147350993377,0.0136439320025
cf,0.01,15, 'hidden_sigmoid',500.0,0.0046357615894,0.000113483819938
prediction,0.01,16,0.042062481435,0.040001623332,0.125165562914,0.00911909045598
cf,0.01,16, 'hidden_sigmoid',500.0,0.00728476821192,0.000319380265912
prediction,0.01,17,0.042117417813,0.039915066212,0.134768211921,0.0110943647745
cf,0.01,17, 'hidden_sigmoid',200.0,0.00629139072848,0.000124234746742
prediction,0.01,18,0.04214276927,0.040025997906,0.0774834437086,0.00553192426162
cf,0.01,18, 'hidden_sigmoid',100.0,0.144370860927,0.0102509301508
prediction,0.01,19,0.042176814702,0.040177382528,0.148675496689,0.0105945881861
cf,0.01,19, 'hidden_sigmoid',200.0,0.0109271523179,0.000478078120979
prediction,0.01,20,0.042224386754,0.040002703666,0.101655629139,0.0071680182428
cf,0.01,20, 'hidden_sigmoid',500.0,0.00894039735099,0.000361051918244
prediction,0.01,21,0.042221307372,0.040075033903,0.138410596026,0.0108855736334
cf,0.01,21, 'hidden',200.0,0.0334437086093,0.00141541824247
prediction,0.01,22,0.042189644888,0.04015075787,0.156953642384,0.0129043338333
cf,0.01,22, 'hidden',500.0,0.0662251655629,0.00331023534777
prediction,0.01,23,0.042228132772,0.039764717221,0.14701986755,0.0120550291225
cf,0.01,23, 'hidden',500.0,0.0205298013245,0.000737893236308
prediction,0.01,24,0.042228313879,0.03999967873,0.130132450331,0.0125085198212
cf,0.01,24, 'hidden',500.0,0.0665562913907,0.00388268041064
prediction,0.01,25,0.04223228351,0.039926871657,0.109933774834,0.00948480448658
cf,0.01,25, 'hidden',500.0,0.0254966887417,0.00112711291047
prediction,0.01,26,0.042234493037,0.040085621178,0.0784768211921,0.00585499948785
cf,0.01,26, 'hidden',200.0,0.338410596026,0.0295494129629
prediction,0.01,27,0.042244585851,0.039916977286,0.0281456953642,0.00222021521816
cf,0.01,27, 'hidden',500.0,0.241390728477,0.0180322229782
prediction,0.01,28,0.042235707195,0.04008773714,0.0198675496689,0.000968838686665
cf,0.01,28, 'hidden',200.0,0.269536423841,0.0212181949574
prediction,0.01,29,0.042196922195,0.040088947862,0.0172185430464,0.000887183301192
cf,0.01,29, 'hidden',500.0,0.266887417219,0.0191220135448
prediction,0.01,30,0.04224408074,0.040126353502,0.0165562913907,0.00080764808465
cf,0.01,30, 'hidden',500.0,0.338079470199,0.0279394977203
prediction,0.001,1,0.076905199063,0.091574445366,0.014238410596,0.00108187786061
cf,0.001,1, 'decode',500.0,0.321854304636,0.0280594057467
prediction,0.001,2,0.41714595697,0.54968529939,0.0417218543046,0.00273341577276
cf,0.001,2, 'hidden_sigmoid',500.0,0.160927152318,0.0105333193493
prediction,0.001,3,0.55630555978,0.63984394073,0.0483443708609,0.00301522927579
cf,0.001,3, 'hidden_sigmoid',500.0,0.251986754967,0.0182867664285
prediction,0.001,4,0.51083965408,0.44971764087,0.0417218543046,0.00247418545241
cf,0.001,4, 'hidden_sigmoid',500.0,0.313907284768,0.0264458893677
prediction,0.001,5,0.42238386319,0.34189951419,0.0652317880795,0.0048898557109
cf,0.001,5, 'hidden_sigmoid',500.0,0.315894039735,0.0263670943775
prediction,0.001,6,0.33433309312,0.34983319044,0.0662251655629,0.00563495837912
cf,0.001,6, 'hidden_sigmoid',500.0,0.293377483444,0.0241573094309
prediction,0.001,7,0.27693665944,0.1951474696,0.062582781457,0.00436451764767
cf,0.001,7, 'hidden_sigmoid',200.0,0.28178807947,0.0214354194534
prediction,0.001,8,0.22107623479,0.15294733643,0.0682119205298,0.00479771063959
cf,0.001,8, 'hidden_sigmoid',200.0,0.252649006623,0.0191503890693
prediction,0.001,9,0.1778334581,0.08964444696,0.0596026490066,0.00474387748339
cf,0.001,9, 'hidden_sigmoid',200.0,0.235099337748,0.0167444364074
prediction,0.001,10,0.14887616821,0.12494904547,0.0476821192053,0.0032860700559
cf,0.001,10, 'decode',500.0,0.273841059603,0.0206952529495
prediction,0.001,11,0.12934907181,0.08392792195,0.0529801324503,0.00469311596329
cf,0.001,11, 'hidden_sigmoid',100.0,0.266887417219,0.0229074683625
prediction,0.001,12,0.11311289075,0.077924497425,0.0417218543046,0.00313241663771
cf,0.001,12, 'hidden_sigmoid',100.0,0.267218543046,0.0215320537778
prediction,0.001,13,0.10184205801,0.06998822838,0.0526490066225,0.00421377879112
cf,0.001,13, 'decode',500.0,0.227483443709,0.0162364791011
prediction,0.001,14,0.089222638079,0.07544966787,0.0390728476821,0.00283179416885
cf,0.001,14, 'decode',500.0,0.315894039735,0.026696550318
prediction,0.001,15,0.08531107849,0.058158151805,0.046357615894,0.00393712176432
cf,0.001,15, 'hidden_sigmoid',5.0,0.2,0.0135939503732
prediction,0.001,16,0.076064199209,0.0585347712,0.0149006622517,0.00171844811865
cf,0.001,16, 'decode',500.0,0.269536423841,0.0205181845912
prediction,0.001,17,0.070751982812,0.05157031491,0.064238410596,0.0054920501287
cf,0.001,17, 'hidden_sigmoid',5.0,0.263907284768,0.0191730655918
prediction,0.001,18,0.06583475054,0.045889858156,0.0254966887417,0.00204574401749
cf,0.001,18, 'hidden_sigmoid',5.0,0.217880794702,0.0156947722811
prediction,0.001,19,0.062380066475,0.052295122295,0.00132450331126,4.97933575661e-05
cf,0.001,19, 'hidden_sigmoid',5.0,0.284437086093,0.0261088415796
prediction,0.001,20,0.058457840711,0.046148993074,0.0139072847682,0.00096675232189
cf,0.001,20, 'hidden_sigmoid',5.0,0.241721854305,0.0175740627604
prediction,0.001,21,0.056168412073,0.045119460672,0.00529801324503,0.000280912289755
cf,0.001,21, 'hidden_sigmoid',5.0,0.221523178808,0.0166572003347
prediction,0.001,22,0.053947049455,0.042404141277,0.000662251655629,9.65783664459e-05
cf,0.001,22, 'hidden_sigmoid',5.0,0.223178807947,0.0166947943295
prediction,0.001,23,0.052279228678,0.042332343757,0.0023178807947,7.99455901382e-05
cf,0.001,23, 'hidden_sigmoid',5.0,0.285099337748,0.0234241415876
prediction,0.001,24,0.050752671674,0.041192807257,0.0,0.0
cf,0.001,24, 'hidden_sigmoid',5.0,0.234437086093,0.0175590478091
prediction,0.001,25,0.049502450017,0.041155330836,0.0,0.0
cf,0.001,25, 'decode',500.0,0.242052980132,0.0172560792707
prediction,0.001,26,0.0485972082,0.04027402773,0.0,0.0
cf,0.001,26, 'decode',500.0,0.238410596026,0.0168758671082
prediction,0.001,27,0.047364519861,0.039740003645,0.000331125827815,1.00341159944e-05
cf,0.001,27, 'decode',500.0,0.245033112583,0.0167258139958
prediction,0.001,28,0.046523378541,0.03940122202,0.0,0.0
cf,0.001,28, 'decode',500.0,0.243708609272,0.0183311703138
prediction,0.001,29,0.045741628568,0.038757476955,0.0,0.0
cf,0.001,29, 'decode',500.0,0.296357615894,0.0240289440489
prediction,0.001,30,0.044774596125,0.038435902446,0.000662251655629,2.00682319888e-05
cf,0.001,30, 'decode',500.0,0.241390728477,0.0180950938242
prediction,0.0001,1,0.11382519587,0.068370841443,0.0864238410596,0.00745741631267
cf,0.0001,1, 'hidden',100.0,0.473509933775,0.0523265820062
prediction,0.0001,2,0.064755201912,0.043729066848,0.118543046358,0.00963308725255
cf,0.0001,2, 'hidden',200.0,0.471523178808,0.0524539735981
prediction,0.0001,3,0.045880293807,0.03765115514,0.13940397351,0.0109249728683
cf,0.0001,3, 'hidden',500.0,0.422847682119,0.0429096234311
prediction,0.0001,4,0.04108074832,0.035836480557,0.137086092715,0.0106026054351
cf,0.0001,4, 'decode',500.0,0.16059602649,0.00901817563169
prediction,0.0001,5,0.038585190685,0.03250695765,0.126821192053,0.00927620726279
cf,0.0001,5, 'hidden_sigmoid',200.0,0.193046357616,0.0123871763363
prediction,0.0001,6,0.035775875481,0.030135972425,0.134437086093,0.00922022328299
cf,0.0001,6, 'hidden_sigmoid',500.0,0.324503311258,0.0253388685302
prediction,0.0001,7,0.034997352948,0.028715372085,0.143046357616,0.00920574601616
cf,0.0001,7, 'hidden_sigmoid',500.0,0.376490066225,0.0334473252011
prediction,0.0001,8,0.035951562416,0.030116220936,0.149668874172,0.0115732067582
cf,0.0001,8, 'hidden_sigmoid',500.0,0.40761589404,0.0363197985893
prediction,0.0001,9,0.041163284427,0.037438191473,0.12582781457,0.00924980928985
cf,0.0001,9, 'hidden_sigmoid',500.0,0.366225165563,0.0313079112687
prediction,0.0001,10,0.054948989301,0.094343408942,0.0566225165563,0.00402627339546
cf,0.0001,10, 'hidden_sigmoid',500.0,0.382119205298,0.0332558785563
prediction,0.0001,11,0.073536082529,0.059509202837,0.0864238410596,0.00556132511698
cf,0.0001,11, 'hidden_sigmoid',500.0,0.481456953642,0.0457236295424
prediction,0.0001,12,0.074547639259,0.053640346974,0.0741721854305,0.0059258752736
cf,0.0001,12, 'hidden_sigmoid',500.0,0.4,0.035057327705
prediction,0.0001,13,0.064780714993,0.043912656605,0.0735099337748,0.00535411700254
cf,0.0001,13, 'hidden_sigmoid',500.0,0.49238410596,0.0472258978275
prediction,0.0001,14,0.060495433039,0.045479193329,0.0725165562914,0.00608147166351
cf,0.0001,14, 'hidden_sigmoid',500.0,0.469205298013,0.044567867861
prediction,0.0001,15,0.074208110857,0.045733861625,0.0794701986755,0.00691490127257
cf,0.0001,15, 'hidden_sigmoid',500.0,0.500993377483,0.0489677250955
prediction,0.0001,16,0.056086858686,0.043895240873,0.0854304635762,0.00556521466699
cf,0.0001,16, 'hidden_sigmoid',500.0,0.524834437086,0.0521126274358
prediction,0.0001,17,0.061198451198,0.04240383207,0.0907284768212,0.00788770231656
cf,0.0001,17, 'hidden_sigmoid',500.0,0.531456953642,0.0535436808853
prediction,0.0001,18,0.080729598227,0.045734781771,0.0692052980132,0.00545912221396
cf,0.0001,18, 'hidden_sigmoid',500.0,0.540728476821,0.056202614557
prediction,0.0001,19,0.05339575683,0.04491726309,0.0824503311258,0.00555962637873
cf,0.0001,19, 'hidden_sigmoid',500.0,0.530463576159,0.0541577798016
prediction,0.0001,20,0.056094374221,0.051823504269,0.0596026490066,0.00493341472407
cf,0.0001,20, 'hidden_sigmoid',500.0,0.534105960265,0.0540316631159
prediction,0.0001,21,0.05715153471,0.050480123609,0.0870860927152,0.00732329907107
cf,0.0001,21, 'hidden_sigmoid',500.0,0.527814569536,0.0536849587579
prediction,0.0001,22,0.0551484892,0.047397814691,0.0751655629139,0.00582363950129
cf,0.0001,22, 'hidden_sigmoid',500.0,0.52880794702,0.0524005337422
prediction,0.0001,23,0.055178616291,0.04184218496,0.0629139072848,0.00481349083768
cf,0.0001,23, 'hidden_sigmoid',500.0,0.538410596026,0.0549853836645
prediction,0.0001,24,0.058115787708,0.046540781855,0.0754966887417,0.00584277813884
cf,0.0001,24, 'hidden_sigmoid',500.0,0.528145695364,0.0528997473356
prediction,0.0001,25,0.052610562111,0.044338669627,0.0579470198675,0.0038844788896
cf,0.0001,25, 'hidden_sigmoid',500.0,0.523509933775,0.0525031085816
prediction,0.0001,26,0.058131930633,0.044024772942,0.0897350993377,0.00746495398287
cf,0.0001,26, 'hidden_sigmoid',500.0,0.527814569536,0.0527770022717
prediction,0.0001,27,0.053914214651,0.039979539811,0.0771523178808,0.00553470134258
cf,0.0001,27, 'hidden_sigmoid',500.0,0.532119205298,0.0539005008769
prediction,0.0001,28,0.053178352518,0.041285209357,0.0695364238411,0.00521059448206
cf,0.0001,28, 'hidden_sigmoid',500.0,0.530132450331,0.0532097895291
prediction,0.0001,29,0.055015586603,0.047828152775,0.0645695364238,0.00576514496612
cf,0.0001,29, 'hidden_sigmoid',500.0,0.515562913907,0.0525056353908
prediction,0.0001,30,0.052611963393,0.04429013282,0.0705298013245,0.00560885766811
cf,0.0001,30, 'hidden_sigmoid',500.0,0.520198675497,0.0519633724743
prediction,1e-05,1,0.14562494823,0.11873577535,0.0774834437086,0.00565113533135
cf,1e-05,1, 'hidden',100.0,0.464900662252,0.0499535654269
prediction,1e-05,2,0.13869852114,0.11273613572,0.0811258278146,0.00590895197344
cf,1e-05,2, 'hidden',100.0,0.468543046358,0.0505734113724
cf,1e-05,2, 'hidden',200.0,0.468543046358,0.0506445114843
prediction,1e-05,3,0.1319311209,0.10688415169,0.0811258278146,0.00582080698741
cf,1e-05,3, 'hidden',100.0,0.471523178808,0.0509637184173
prediction,1e-05,4,0.12524188711,0.10119457542,0.0824503311258,0.00582856252153
cf,1e-05,4, 'hidden',100.0,0.469536423841,0.0507042449988
prediction,1e-05,5,0.11880203603,0.095713227987,0.0860927152318,0.00597033871042
cf,1e-05,5, 'hidden',100.0,0.471854304636,0.0508726513575
prediction,1e-05,6,0.11248799069,0.090470381081,0.0870860927152,0.00608826943301
cf,1e-05,6, 'hidden',100.0,0.471854304636,0.0514050308163
prediction,1e-05,7,0.10651603245,0.085464000701,0.0907284768212,0.00642321176003
cf,1e-05,7, 'hidden',200.0,0.472516556291,0.0513897169473
prediction,1e-05,8,0.10081502279,0.080748744308,0.0917218543046,0.00648945507692
cf,1e-05,8, 'hidden',200.0,0.470198675497,0.0510841838371
prediction,1e-05,9,0.095250931114,0.076270535588,0.0933774834437,0.00658212503787
cf,1e-05,9, 'hidden',200.0,0.468874172185,0.050474319815
prediction,1e-05,10,0.090128492659,0.07211961597,0.0940397350993,0.00662493623731
cf,1e-05,10, 'hidden',200.0,0.467218543046,0.0502646011542
prediction,1e-05,11,0.08527990468,0.0682314336,0.0966887417219,0.00690480192408
cf,1e-05,11, 'hidden',200.0,0.46821192053,0.0503740937605
prediction,1e-05,12,0.080668486272,0.064656294882,0.0956953642384,0.0069009694148
cf,1e-05,12, 'hidden',200.0,0.469536423841,0.0502698010339
prediction,1e-05,13,0.076545099799,0.061383612453,0.0953642384106,0.00684576378726
cf,1e-05,13, 'hidden',200.0,0.470860927152,0.0507366432739
prediction,1e-05,14,0.072585160915,0.058406181633,0.0970198675497,0.00698194289773
cf,1e-05,14, 'hidden',200.0,0.471523178808,0.0509494525185
prediction,1e-05,15,0.068987581974,0.055688325315,0.0996688741722,0.00751475561362
cf,1e-05,15, 'hidden',200.0,0.472847682119,0.0509536526452
prediction,1e-05,16,0.065680720867,0.053221281617,0.102649006623,0.00762430692551
cf,1e-05,16, 'hidden',100.0,0.471523178808,0.0511275706934
prediction,1e-05,17,0.062685462622,0.051018644124,0.103973509934,0.0074941157616
cf,1e-05,17, 'hidden',200.0,0.473841059603,0.0512361902405
prediction,1e-05,18,0.059945672941,0.049074463546,0.107284768212,0.00769715440356
cf,1e-05,18, 'hidden',200.0,0.47582781457,0.0513434430706
prediction,1e-05,19,0.057464751773,0.047336943447,0.105960264901,0.00763176799305
cf,1e-05,19, 'hidden',200.0,0.473841059603,0.0513317288338
prediction,1e-05,20,0.05528632389,0.04587085545,0.106291390728,0.00787770996432
cf,1e-05,20, 'hidden',200.0,0.474503311258,0.0516704455562
prediction,1e-05,21,0.05332392435,0.044480942189,0.108278145695,0.00806817584073
cf,1e-05,21, 'hidden',200.0,0.469536423841,0.0509503116319
prediction,1e-05,22,0.051596638579,0.043326124548,0.11059602649,0.00817262579127
cf,1e-05,22, 'hidden',200.0,0.473509933775,0.0510404760901
prediction,1e-05,23,0.049993538894,0.042307410389,0.11357615894,0.00861618458289
cf,1e-05,23, 'hidden',200.0,0.469867549669,0.0502521143546
prediction,1e-05,24,0.048644627993,0.041440699249,0.116556291391,0.00861370040014
cf,1e-05,24, 'hidden',500.0,0.467880794702,0.0491898275745
prediction,1e-05,25,0.047453961024,0.040698185563,0.117880794702,0.00870572096661
cf,1e-05,25, 'hidden',500.0,0.479801324503,0.0512319500431
prediction,1e-05,26,0.046423982351,0.040051359683,0.120198675497,0.00895063430983
cf,1e-05,26, 'hidden',500.0,0.478145695364,0.0509112072231
prediction,1e-05,27,0.045494899822,0.039534453302,0.125165562914,0.00946920057932
cf,1e-05,27, 'hidden',500.0,0.481456953642,0.0518845499984
prediction,1e-05,28,0.04467720156,0.039040636271,0.129801324503,0.00992967426375
cf,1e-05,28, 'hidden',500.0,0.481125827815,0.0514426837812
prediction,1e-05,29,0.043984839071,0.03856992349,0.129470198675,0.00985569541327
cf,1e-05,29, 'hidden',500.0,0.475165562914,0.0506757438674
prediction,1e-05,30,0.043370446333,0.038245465606,0.131125827815,0.0100024170415
cf,1e-05,30, 'hidden',500.0,0.445364238411,0.0462553777599
