type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,3, 'hidden',200.0,0.467549668874,0.0481027837193
cf,0.01,3, 'hidden',200.0,0.518543046358,0.0523761693958
cf,0.001,3, 'hidden_sigmoid',500.0,0.315894039735,0.0252367884324
cf,0.0001,25, 'hidden_sigmoid',500.0,0.535761589404,0.0530698906347
cf,1e-05,24, 'hidden',200.0,0.47880794702,0.0525968574181
prediction,0.1,13,0.044109223935,0.041123759001,0.149668874172,0.0135742279585
prediction,0.01,25,0.042291645724,0.03967795521,0.148344370861,0.0112723719928
prediction,0.001,7,0.27020782652,0.23530435562,0.067880794702,0.00546209324084
prediction,0.0001,3,0.046042472697,0.037779476493,0.138741721854,0.0100107882361
prediction,1e-05,30,0.043324443201,0.03831918165,0.130794701987,0.00922583980926
