type,lr,epoch,hidden/loss,knn/MSE,precision,recall
cf,0.1,2, 'hidden',200.0,0.456291390728,0.0471524604954
cf,0.01,3, 'hidden',500.0,0.476821192053,0.0469378947622
cf,0.001,1, 'decode',500.0,0.321854304636,0.0280594057467
cf,0.0001,18, 'hidden_sigmoid',500.0,0.540728476821,0.056202614557
cf,1e-05,27, 'hidden',500.0,0.481456953642,0.0518845499984
prediction,0.1,27,0.04962457869,0.044972561299,0.143708609272,0.0108056785642
prediction,0.01,22,0.042189644888,0.04015075787,0.156953642384,0.0129043338333
prediction,0.001,8,0.22107623479,0.15294733643,0.0682119205298,0.00479771063959
prediction,0.0001,8,0.035951562416,0.030116220936,0.149668874172,0.0115732067582
prediction,1e-05,30,0.043370446333,0.038245465606,0.131125827815,0.0100024170415
